Date,Adj Close,return,cumulative_return,rolling_vol_30d,SMA_50,SMA_200
01/05/2018,24099.05,,1,,,
02/05/2018,23924.98,-0.007223106,0.992776894,,,
03/05/2018,23930.15,0.000216092,0.992991425,,,
04/05/2018,24262.51,0.013888755,1.00678284,,,
07/05/2018,24357.32,0.003907675,1.01071702,,,
08/05/2018,24360.21,0.00011865,1.010836942,,,
09/05/2018,24542.54,0.007484747,1.0184028,,,
10/05/2018,24739.53,0.008026472,1.026576981,,,
11/05/2018,24831.17,0.003704193,1.030379621,,,
14/05/2018,24899.41,0.002748159,1.033211268,,,
15/05/2018,24706.41,-0.007751188,1.025202653,,,
16/05/2018,24768.93,0.002530517,1.027796946,,,
17/05/2018,24713.98,-0.002218505,1.025516773,,,
18/05/2018,24715.09,4.49E-05,1.025562833,,,
21/05/2018,25013.29,0.012065503,1.037936765,,,
22/05/2018,24834.41,-0.007151398,1.030514066,,,
23/05/2018,24886.81,0.002109976,1.032688425,,,
24/05/2018,24811.76,-0.003015654,1.029574195,,,
25/05/2018,24753.09,-0.002364605,1.027139659,,,
29/05/2018,24361.45,-0.015821863,1.010888396,,,
30/05/2018,24667.78,0.012574375,1.023599685,,,
31/05/2018,24415.84,-0.010213323,1.013145331,,,
01/06/2018,24635.21,0.008984741,1.02224818,,,
04/06/2018,24813.69,0.007244915,1.029654281,,,
05/06/2018,24799.98,-0.000552518,1.029085379,,,
06/06/2018,25146.39,0.013968156,1.043459804,,,
07/06/2018,25241.41,0.003778674,1.047402698,,,
08/06/2018,25316.53,0.002976062,1.050519834,,,
11/06/2018,25322.31,0.000228309,1.050759677,,,
12/06/2018,25320.73,-6.24E-05,1.050694114,,,
13/06/2018,25201.2,-0.004720638,1.045734168,0.114443194,,
14/06/2018,25175.31,-0.001027332,1.044659852,0.111707638,,
15/06/2018,25090.48,-0.003369571,1.041139796,0.112607832,,
18/06/2018,24987.47,-0.004105541,1.036865354,0.107510758,,
19/06/2018,24700.21,-0.011496162,1.024945382,0.113023785,,
20/06/2018,24657.8,-0.001716989,1.023185561,0.113201352,,
21/06/2018,24461.7,-0.007952859,1.015048311,0.113681651,,
22/06/2018,24580.89,0.004872515,1.019994149,0.112082323,,
25/06/2018,24252.8,-0.01334736,1.00637992,0.117688901,,
26/06/2018,24283.11,0.001249753,1.007637645,0.117380638,,
27/06/2018,24117.59,-0.00681626,1.000769325,0.116930541,,
28/06/2018,24216.05,0.004082497,1.004854963,0.117397651,,
29/06/2018,24271.41,0.002286087,1.007152149,0.117625649,,
02/07/2018,24307.18,0.00147375,1.00863644,0.117763964,,
03/07/2018,24174.82,-0.005445305,1.003144107,0.112300983,,
05/07/2018,24356.74,0.007525185,1.010692953,0.113491587,,
06/07/2018,24456.48,0.004094965,1.014831705,0.114051306,,
09/07/2018,24776.59,0.013088965,1.028114801,0.120407502,,
10/07/2018,24919.66,0.005774402,1.03405155,0.121337091,,
11/07/2018,24700.45,-0.008796669,1.024955341,0.114781404,24657.598,
12/07/2018,24924.89,0.009086474,1.034268571,0.112000878,24674.1148,
13/07/2018,25019.41,0.003792193,1.038190717,0.107777123,24696.0034,
16/07/2018,25064.36,0.001796605,1.040055936,0.105033449,24718.6876,
17/07/2018,25119.89,0.002215496,1.042360176,0.103263855,24735.8352,
18/07/2018,25199.29,0.003160842,1.045654912,0.103517565,24752.6746,
19/07/2018,25064.5,-0.00534896,1.040061745,0.09667826,24766.7604,
20/07/2018,25058.12,-0.000254543,1.039797004,0.095979686,24777.072,
23/07/2018,25044.29,-0.000551917,1.039223123,0.095500625,24783.1672,
24/07/2018,25241.94,0.007892019,1.047424691,0.09843673,24791.3826,
25/07/2018,25414.1,0.006820395,1.054568541,0.100452513,24801.6764,
26/07/2018,25527.07,0.00444517,1.059256278,0.10010895,24818.0896,
27/07/2018,25451.06,-0.002977623,1.056102211,0.100517384,24831.7322,
30/07/2018,25306.83,-0.005666955,1.050117328,0.101478528,24843.5892,
31/07/2018,25415.19,0.004281848,1.054613771,0.101221338,24857.5912,
01/08/2018,25333.82,-0.003201629,1.051237289,0.095299789,24864.0018,
02/08/2018,25326.16,-0.000302363,1.050919435,0.095054999,24873.8368,
03/08/2018,25462.58,0.005386525,1.056580239,0.092063301,24885.3522,
06/08/2018,25502.18,0.001555223,1.058223457,0.091461636,24899.1606,
07/08/2018,25628.91,0.004969379,1.06348217,0.080862718,24916.677,
08/08/2018,25583.75,-0.001762073,1.061608238,0.081526664,24941.123,
09/08/2018,25509.23,-0.002912786,1.058516,0.078697024,24957.952,
10/08/2018,25313.14,-0.007687022,1.050379164,0.083108492,24975.898,
13/08/2018,25187.7,-0.004955529,1.04517398,0.085132209,24986.9478,
14/08/2018,25299.92,0.004455349,1.049830595,0.085637431,24996.6724,
15/08/2018,25162.41,-0.005435195,1.044124561,0.085630466,25003.921,
16/08/2018,25558.73,0.015750479,1.060570022,0.093721305,25012.1678,
17/08/2018,25669.32,0.004326897,1.065159,0.09377684,25020.726,
20/08/2018,25758.69,0.003481588,1.068867445,0.087500753,25029.5692,
21/08/2018,25822.29,0.00246907,1.071506553,0.086555016,25039.5688,
22/08/2018,25733.6,-0.00343463,1.067826325,0.082471861,25047.8262,
23/08/2018,25656.98,-0.00297743,1.064646947,0.080052035,25056.9418,
24/08/2018,25790.35,0.005198196,1.07018119,0.080583542,25069.2426,
27/08/2018,26049.64,0.01005376,1.080940535,0.08471846,25088.4258,
28/08/2018,26064.02,0.000552023,1.081537239,0.0846994,25109.9568,
29/08/2018,26124.57,0.002323126,1.084049786,0.084569385,25138.444,
30/08/2018,25986.92,-0.005268986,1.078337943,0.084515735,25165.0264,
31/08/2018,25964.82,-0.000850428,1.077420894,0.084623597,25195.0888,
04/09/2018,25952.48,-0.000475258,1.076908841,0.084610103,25222.5206,
05/09/2018,25974.99,0.000867354,1.077842903,0.082198565,25256.9644,
06/09/2018,25995.87,0.00080385,1.078709327,0.080303722,25291.2196,
07/09/2018,25916.54,-0.003051639,1.075417496,0.080259377,25327.1986,
10/09/2018,25857.07,-0.002294674,1.072949764,0.080025028,25360.019,
11/09/2018,25971.06,0.004408465,1.077679826,0.07854854,25394.012,
12/09/2018,25998.92,0.001072732,1.078835888,0.077887201,25427.8468,
13/09/2018,26145.99,0.005656773,1.084938618,0.078194078,25467.2702,
14/09/2018,26154.67,0.000331982,1.085298798,0.078119329,25503.2288,
17/09/2018,26062.12,-0.003538565,1.081458398,0.078131743,25535.3416,
18/09/2018,26246.96,0.007092286,1.08912841,0.080224442,25564.749,
19/09/2018,26405.76,0.006050224,1.095717881,0.080751822,25594.471,
